finding_label,n_certain,n_uncertain,mean_iou_certain,mean_iou_uncertain,delta_mean_iou
callus rib fracture,88,11,0.3589540985413331,0.2593242286453416,0.09962986989599149
increased density,70,12,0.44218697229653203,0.37821892738659485,0.06396804490993718
alveolar pattern,116,12,0.4784082369251075,0.44567017810421644,0.032738058820891036
pseudonodule,64,16,0.32408619665486504,0.2928651495331825,0.031221047121682555
vascular hilar enlargement,65,93,0.48908475729975165,0.49078391078659095,-0.0016991534868393
infiltrates,105,23,0.4621166001376477,0.48815364628613983,-0.026037046148492116
pleural effusion,157,17,0.4184864749850805,0.4750126856379513,-0.05652621065287078
atelectasis,49,12,0.42147801108253635,0.5248508443624503,-0.10337283327991398
calcified granuloma,66,10,0.2748119554138247,0.4059695748747155,-0.13115761946089083
nipple shadow,30,13,0.182340753106542,0.35047857986030323,-0.16813782675376124
